R Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<0|V|8> Re<0|V|9> Re<0|V|10> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<1|V|8> Re<1|V|9> Re<1|V|10> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<2|V|8> Re<2|V|9> Re<2|V|10> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<3|V|8> Re<3|V|9> Re<3|V|10> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<4|V|8> Re<4|V|9> Re<4|V|10> Re<5|V|6> Re<5|V|7> Re<5|V|8> Re<5|V|9> Re<5|V|10> Re<6|V|7> Re<6|V|8> Re<6|V|9> Re<6|V|10> Re<7|V|8> Re<7|V|9> Re<7|V|10> Re<8|V|9> Re<8|V|10> Re<9|V|10>
4.400000 -0.009229 -0.073573 -0.069226 -0.023963 0.030021 0.024608 -0.043640 -0.002413 -0.007755 -0.058686 -0.060800 -0.025416 0.030971 0.026638 -0.047198 -0.000010 -0.004529 -0.029742 -0.042090 -0.016028 0.006685 0.011446 -0.015251 -0.001875 0.023293 0.012881 -0.011255 0.024010 0.012038 -0.025577 -0.001836 -0.017706 0.069302 0.106440 0.055543 0.097117 -0.110012 -0.136169 -0.029978 -0.118893 -0.031274 -0.052680 0.033571 -0.059294 -0.121922 0.053647 -0.145261 0.057688 -0.099213 -0.034702 -0.057045 0.117791
4.500000 -0.007652 -0.070340 -0.067805 -0.024251 0.029034 0.024409 -0.043313 -0.002163 -0.006600 -0.058268 -0.059643 -0.024302 0.029699 0.025221 -0.044603 -0.000877 -0.003765 -0.029682 -0.039415 -0.014559 0.007876 0.011524 -0.015750 -0.001678 0.020580 0.010485 -0.009939 0.020372 0.010623 -0.021780 -0.001596 -0.015557 0.060771 0.093829 0.048636 0.085546 -0.097177 -0.115608 -0.026539 -0.100231 -0.027802 -0.042708 0.025623 -0.052041 -0.103615 0.047475 -0.123895 0.050492 -0.084063 -0.026620 -0.050217 0.100539
4.600000 -0.006107 -0.066698 -0.065938 -0.024319 0.027918 0.024058 -0.042629 -0.001957 -0.005437 -0.057433 -0.058073 -0.023025 0.028209 0.023696 -0.041814 -0.001615 -0.003023 -0.029403 -0.036544 -0.013137 0.008939 0.011411 -0.016126 -0.001525 0.018151 0.008591 -0.008762 0.017351 0.009360 -0.018610 -0.001388 -0.013658 0.053260 0.082596 0.042573 0.075258 -0.085690 -0.098517 -0.023445 -0.084872 -0.024646 -0.034856 0.019641 -0.045643 -0.088375 0.041927 -0.106012 0.044183 -0.071507 -0.020518 -0.044155 0.086083
4.700000 -0.004608 -0.062740 -0.063693 -0.024192 0.026694 0.023571 -0.041637 -0.001787 -0.004283 -0.056231 -0.056151 -0.021625 0.026550 0.022089 -0.038885 -0.002240 -0.002307 -0.028927 -0.033542 -0.011760 0.009870 0.011144 -0.016379 -0.001403 0.015999 0.007092 -0.007721 0.014843 0.008243 -0.015965 -0.001209 -0.011992 0.046700 0.072690 0.037291 0.066198 -0.075520 -0.084317 -0.020694 -0.072229 -0.021816 -0.028667 0.015147 -0.040046 -0.075696 0.036997 -0.091060 0.038690 -0.061102 -0.015920 -0.038822 0.073984
4.800000 -0.003167 -0.058554 -0.061141 -0.023894 0.025381 0.022967 -0.040393 -0.001644 -0.003152 -0.054717 -0.053943 -0.020137 0.024772 0.020427 -0.035867 -0.002769 -0.001621 -0.028284 -0.030468 -0.010429 0.010673 0.010759 -0.016513 -0.001303 0.014107 0.005900 -0.006805 0.012756 0.007263 -0.013755 -0.001056 -0.010540 0.040994 0.064007 0.032707 0.058265 -0.066577 -0.072491 -0.018267 -0.061788 -0.019303 -0.023765 0.011765 -0.035172 -0.065124 0.032651 -0.078537 0.033925 -0.052458 -0.012445 -0.034157 0.063840
4.900000 -0.001792 -0.054227 -0.058353 -0.023455 0.024006 0.022265 -0.038948 -0.001522 -0.002058 -0.052952 -0.051513 -0.018595 0.022918 0.018738 -0.032809 -0.003215 -0.000968 -0.027502 -0.027372 -0.009146 0.011354 0.010285 -0.016542 -0.001220 0.012448 0.004946 -0.006004 0.011012 0.006405 -0.011900 -0.000924 -0.009275 0.036041 0.056418 0.028734 0.051338 -0.058743 -0.062601 -0.016134 -0.053124 -0.017083 -0.019856 0.009208 -0.030935 -0.056273 0.028834 -0.068010 0.029798 -0.045245 -0.009808 -0.030087 0.055307
5.000000 -0.000490 -0.049834 -0.055400 -0.022903 0.022592 0.021489 -0.037352 -0.001417 -0.001010 -0.050995 -0.048926 -0.017027 0.021026 0.017045 -0.029753 -0.003588 -0.000351 -0.026612 -0.024299 -0.007915 0.011921 0.009746 -0.016478 -0.001150 0.010997 0.004176 -0.005303 0.009546 0.005656 -0.010336 -0.000810 -0.008176 0.031740 0.049795 0.025290 0.045298 -0.051890 -0.054288 -0.014265 -0.045891 -0.015128 -0.016713 0.007263 -0.027254 -0.048827 0.025489 -0.059121 0.026221 -0.039195 -0.007792 -0.026540 0.048097
5.100000 0.000733 -0.045445 -0.052347 -0.022263 0.021161 0.020659 -0.035654 -0.001324 -0.000015 -0.048902 -0.046241 -0.015459 0.019130 0.015370 -0.026739 -0.003901 0.000227 -0.025644 -0.021286 -0.006740 0.012388 0.009166 -0.016335 -0.001089 0.009728 0.003549 -0.004690 0.008309 0.005001 -0.009011 -0.000713 -0.007218 0.028003 0.044014 0.022301 0.040028 -0.045898 -0.047264 -0.012627 -0.039818 -0.013410 -0.014165 0.005773 -0.024052 -0.042529 0.022560 -0.051581 0.023118 -0.034092 -0.006241 -0.023447 0.041976
5.200000 0.001874 -0.041118 -0.049251 -0.021561 0.019734 0.019795 -0.033894 -0.001241 0.000922 -0.046724 -0.043511 -0.013913 0.017256 0.013732 -0.023798 -0.004161 0.000767 -0.024622 -0.018365 -0.005624 0.012764 0.008561 -0.016129 -0.001035 0.008618 0.003035 -0.004154 0.007258 0.004428 -0.007883 -0.000628 -0.006384 0.024750 0.038963 0.019701 0.035427 -0.040655 -0.041298 -0.011192 -0.034688 -0.011900 -0.012083 0.004624 -0.021264 -0.037175 0.019994 -0.045153 0.020421 -0.029763 -0.005038 -0.020748 0.036756
5.300000 0.002933 -0.036901 -0.046163 -0.020817 0.018329 0.018913 -0.032109 -0.001166 0.001797 -0.044507 -0.040782 -0.012406 0.015428 0.012146 -0.020957 -0.004376 0.001267 -0.023572 -0.015558 -0.004569 0.013062 0.007947 -0.015873 -0.000987 0.007645 0.002610 -0.003684 0.006361 0.003927 -0.006918 -0.000555 -0.005655 0.021913 0.034544 0.017436 0.031403 -0.036062 -0.036203 -0.009933 -0.030329 -0.010572 -0.010366 0.003732 -0.018831 -0.032601 0.017743 -0.039646 0.018071 -0.026072 -0.004099 -0.018388 0.032281
5.400000 0.003910 -0.032833 -0.043124 -0.020051 0.016960 0.018030 -0.030329 -0.001097 0.002609 -0.042289 -0.038092 -0.010953 0.013664 0.010625 -0.018236 -0.004553 0.001728 -0.022512 -0.012883 -0.003578 0.013293 0.007335 -0.015581 -0.000943 0.006791 0.002256 -0.003272 0.005592 0.003488 -0.006088 -0.000491 -0.005017 0.019433 0.030670 0.015458 0.027877 -0.032032 -0.031830 -0.008827 -0.026605 -0.009403 -0.008940 0.003033 -0.016703 -0.028672 0.015766 -0.034906 0.016019 -0.022909 -0.003358 -0.016321 0.028428
5.500000 0.004805 -0.028943 -0.040168 -0.019279 0.015639 0.017158 -0.028580 -0.001034 0.003357 -0.040101 -0.035472 -0.009564 0.011977 0.009177 -0.015649 -0.004698 0.002151 -0.021461 -0.010353 -0.002650 0.013466 0.006736 -0.015262 -0.000903 0.006040 0.001959 -0.002910 0.004929 0.003101 -0.005371 -0.000435 -0.004458 0.017260 0.027267 0.013725 0.024780 -0.028489 -0.028060 -0.007854 -0.023406 -0.008372 -0.007747 0.002482 -0.014838 -0.025282 0.014027 -0.030809 0.014223 -0.020184 -0.002771 -0.014507 0.025096
5.600000 0.005623 -0.025251 -0.037321 -0.018512 0.014376 0.016307 -0.026881 -0.000975 0.004043 -0.037970 -0.032946 -0.008247 0.010376 0.007808 -0.013208 -0.004816 0.002537 -0.020431 -0.007976 -0.001786 0.013591 0.006155 -0.014928 -0.000865 0.005378 0.001708 -0.002591 0.004354 0.002761 -0.004749 -0.000386 -0.003966 0.015350 0.024272 0.012204 0.022056 -0.025368 -0.024794 -0.006996 -0.020645 -0.007462 -0.006741 0.002044 -0.013198 -0.022345 0.012494 -0.027252 0.012645 -0.017826 -0.002302 -0.012910 0.022202
5.700000 0.006366 -0.021772 -0.034603 -0.017761 0.013176 0.015486 -0.025247 -0.000920 0.004669 -0.035915 -0.030533 -0.007005 0.008867 0.006522 -0.010917 -0.004911 0.002888 -0.019433 -0.005755 -0.000985 0.013676 0.005600 -0.014585 -0.000831 0.004794 0.001494 -0.002310 0.003855 0.002461 -0.004208 -0.000344 -0.003533 0.013669 0.021630 0.010865 0.019653 -0.022613 -0.021953 -0.006238 -0.018251 -0.006658 -0.005888 0.001695 -0.011754 -0.019789 0.011140 -0.024153 0.011257 -0.015777 -0.001925 -0.011503 0.019680
5.800000 0.007039 -0.018513 -0.032027 -0.017035 0.012044 0.014699 -0.023689 -0.000868 0.005238 -0.033951 -0.028244 -0.005843 0.007455 0.005322 -0.008780 -0.004986 0.003205 -0.018476 -0.003690 -0.000244 0.013729 0.005072 -0.014242 -0.000798 0.004278 0.001311 -0.002061 0.003419 0.002195 -0.003735 -0.000306 -0.003150 0.012186 0.019295 0.009684 0.017529 -0.020177 -0.019474 -0.005567 -0.016168 -0.005945 -0.005160 0.001414 -0.010480 -0.017557 0.009942 -0.021443 0.010033 -0.013990 -0.001619 -0.010259 0.017474
5.900000 0.007646 -0.015475 -0.029602 -0.016339 0.010982 0.013952 -0.022215 -0.000820 0.005752 -0.032088 -0.026087 -0.004761 0.006139 0.004205 -0.006795 -0.005046 0.003491 -0.017565 -0.001780 0.000437 0.013755 0.004574 -0.013902 -0.000768 0.003820 0.001154 -0.001840 0.003038 0.001960 -0.003320 -0.000273 -0.002811 0.010873 0.017226 0.008640 0.015649 -0.018018 -0.017301 -0.004973 -0.014347 -0.005312 -0.004535 0.001186 -0.009352 -0.015601 0.008879 -0.019065 0.008951 -0.012425 -0.001369 -0.009158 0.015538
6.000000 0.008191 -0.012659 -0.027331 -0.015677 0.009991 0.013248 -0.020829 -0.000775 0.006216 -0.030332 -0.024068 -0.003758 0.004920 0.003173 -0.004960 -0.005092 0.003749 -0.016704 -0.000021 0.001062 0.013760 0.004109 -0.013571 -0.000740 0.003414 0.001018 -0.001645 0.002702 0.001752 -0.002955 -0.000243 -0.002511 0.009710 0.015391 0.007715 0.013981 -0.016101 -0.015393 -0.004445 -0.012751 -0.004749 -0.003997 0.001001 -0.008352 -0.013882 0.007936 -0.016972 0.007992 -0.011051 -0.001164 -0.008182 0.013834
6.200000 0.009115 -0.007666 -0.023257 -0.014466 0.008221 0.011970 -0.018328 -0.000693 0.007005 -0.027155 -0.020442 -0.001980 0.002761 0.001348 -0.001721 -0.005154 0.004185 -0.015141 0.003072 0.002155 0.013725 0.003273 -0.012946 -0.000689 0.002731 0.000797 -0.001315 0.002146 0.001401 -0.002348 -0.000194 -0.002007 0.007759 0.012308 0.006163 0.011179 -0.012880 -0.012224 -0.003557 -0.010109 -0.003803 -0.003124 0.000724 -0.006675 -0.011027 0.006350 -0.013492 0.006384 -0.008772 -0.000855 -0.006541 0.010999
6.400000 0.009850 -0.003469 -0.019783 -0.013411 0.006719 0.010868 -0.016183 -0.000621 0.007634 -0.024420 -0.017349 -0.000488 0.000948 -0.000180 0.000989 -0.005186 0.004532 -0.013789 0.005644 0.003059 0.013652 0.002563 -0.012383 -0.000645 0.002188 0.000629 -0.001054 0.001709 0.001122 -0.001872 -0.000155 -0.001607 0.006211 0.009858 0.004932 0.008953 -0.010318 -0.009740 -0.002850 -0.008044 -0.003048 -0.002459 0.000534 -0.005344 -0.008787 0.005088 -0.010759 0.005109 -0.006987 -0.000639 -0.005238 0.008772
6.600000 0.010428 0.000017 -0.016862 -0.012507 0.005460 0.009932 -0.014370 -0.000559 0.008130 -0.022101 -0.014747 0.000751 -0.000556 -0.001446 0.003231 -0.005198 0.004805 -0.012639 0.007761 0.003800 0.013558 0.001966 -0.011887 -0.000607 0.001754 0.000498 -0.000845 0.001365 0.000900 -0.001495 -0.000124 -0.001288 0.004976 0.007902 0.003952 0.007176 -0.008272 -0.007777 -0.002285 -0.006416 -0.002445 -0.001946 0.000401 -0.004282 -0.007017 0.004080 -0.008595 0.004093 -0.005577 -0.000485 -0.004199 0.007009
6.800000 0.010879 0.002883 -0.014434 -0.011744 0.004416 0.009147 -0.012856 -0.000506 0.008519 -0.020160 -0.012582 0.001769 -0.001791 -0.002484 0.005069 -0.005197 0.005018 -0.011674 0.009488 0.004402 0.013458 0.001472 -0.011459 -0.000575 0.001406 0.000396 -0.000677 0.001091 0.000721 -0.001195 -0.000100 -0.001032 0.003988 0.006335 0.003166 0.005753 -0.006632 -0.006216 -0.001832 -0.005125 -0.001961 -0.001545 0.000305 -0.003432 -0.005610 0.003271 -0.006874 0.003280 -0.004457 -0.000373 -0.003365 0.005605
7.000000 0.011229 0.005221 -0.012433 -0.011107 0.003559 0.008495 -0.011604 -0.000461 0.008821 -0.018550 -0.010799 0.002598 -0.002797 -0.003329 0.006562 -0.005190 0.005183 -0.010871 0.010885 0.004888 0.013359 0.001066 -0.011094 -0.000548 0.001127 0.000315 -0.000543 0.000872 0.000578 -0.000956 -0.000080 -0.000827 0.003194 0.005076 0.002536 0.004609 -0.005314 -0.004971 -0.001468 -0.004096 -0.001572 -0.001229 0.000236 -0.002749 -0.004486 0.002621 -0.005498 0.002627 -0.003563 -0.000290 -0.002696 0.004483
7.200000 0.011498 0.007115 -0.010798 -0.010580 0.002860 0.007958 -0.010578 -0.000423 0.009055 -0.017228 -0.009340 0.003270 -0.003610 -0.004011 0.007769 -0.005178 0.005310 -0.010210 0.012009 0.005278 0.013265 0.000735 -0.010787 -0.000525 0.000902 0.000251 -0.000434 0.000697 0.000463 -0.000764 -0.000064 -0.000662 0.002556 0.004062 0.002030 0.003689 -0.004254 -0.003973 -0.001175 -0.003273 -0.001258 -0.000979 0.000184 -0.002200 -0.003586 0.002098 -0.004396 0.002102 -0.002848 -0.000227 -0.002158 0.003585
7.400000 0.011704 0.008639 -0.009471 -0.010148 0.002293 0.007520 -0.009742 -0.000391 0.009233 -0.016148 -0.008156 0.003810 -0.004264 -0.004560 0.008737 -0.005164 0.005408 -0.009669 0.012906 0.005590 0.013180 0.000467 -0.010531 -0.000506 0.000721 0.000200 -0.000347 0.000557 0.000370 -0.000611 -0.000051 -0.000529 0.002043 0.003247 0.001622 0.002949 -0.003400 -0.003173 -0.000940 -0.002614 -0.001006 -0.000781 0.000145 -0.001758 -0.002864 0.001677 -0.003511 0.001680 -0.002275 -0.000179 -0.001725 0.002863
7.600000 0.011860 0.009859 -0.008400 -0.009795 0.001837 0.007164 -0.009066 -0.000364 0.009370 -0.015273 -0.007201 0.004242 -0.004786 -0.004998 0.009510 -0.005149 0.005482 -0.009230 0.013620 0.005837 0.013104 0.000252 -0.010319 -0.000490 0.000575 0.000160 -0.000277 0.000444 0.000295 -0.000487 -0.000041 -0.000422 0.001630 0.002591 0.001294 0.002353 -0.002713 -0.002532 -0.000750 -0.002085 -0.000803 -0.000622 0.000115 -0.001403 -0.002285 0.001339 -0.002801 0.001341 -0.001815 -0.000142 -0.001376 0.002284
7.800000 0.011978 0.010830 -0.007542 -0.009510 0.001472 0.006877 -0.008523 -0.000342 0.009473 -0.014569 -0.006434 0.004585 -0.005202 -0.005346 0.010124 -0.005135 0.005538 -0.008876 0.014185 0.006032 0.013038 0.000080 -0.010146 -0.000477 0.000458 0.000127 -0.000221 0.000354 0.000235 -0.000388 -0.000032 -0.000336 0.001299 0.002064 0.001031 0.001874 -0.002161 -0.002017 -0.000597 -0.001661 -0.000639 -0.000496 0.000092 -0.001118 -0.001820 0.001066 -0.002231 0.001068 -0.001445 -0.000113 -0.001096 0.001820
8.000000 0.012067 0.011600 -0.006857 -0.009281 0.001181 0.006647 -0.008089 -0.000325 0.009551 -0.014004 -0.005822 0.004858 -0.005531 -0.005621 0.010609 -0.005123 0.005580 -0.008592 0.014630 0.006185 0.012981 -0.000058 -0.010005 -0.000467 0.000364 0.000101 -0.000175 0.000281 0.000187 -0.000309 -0.000026 -0.000267 0.001033 0.001641 0.000820 0.001490 -0.001718 -0.001604 -0.000475 -0.001321 -0.000508 -0.000395 0.000073 -0.000889 -0.001448 0.000848 -0.001775 0.000849 -0.001150 -0.000091 -0.000872 0.001447
8.200000 0.012134 0.012207 -0.006313 -0.009097 0.000950 0.006464 -0.007743 -0.000310 0.009610 -0.013555 -0.005336 0.005072 -0.005790 -0.005838 0.010991 -0.005111 0.005612 -0.008365 0.014979 0.006305 0.012934 -0.000166 -0.009890 -0.000458 0.000289 0.000080 -0.000139 0.000223 0.000148 -0.000245 -0.000020 -0.000212 0.000819 0.001302 0.000651 0.001182 -0.001364 -0.001273 -0.000377 -0.001049 -0.000403 -0.000314 0.000059 -0.000705 -0.001149 0.000673 -0.001409 0.000674 -0.000913 -0.000073 -0.000692 0.001149
8.400000 0.012185 0.012683 -0.005884 -0.008952 0.000768 0.006319 -0.007470 -0.000298 0.009654 -0.013199 -0.004953 0.005241 -0.005993 -0.006008 0.011290 -0.005102 0.005635 -0.008185 0.015252 0.006399 0.012894 -0.000252 -0.009799 -0.000451 0.000229 0.000064 -0.000110 0.000177 0.000117 -0.000194 -0.000016 -0.000168 0.000649 0.001031 0.000515 0.000937 -0.001080 -0.001009 -0.000298 -0.000832 -0.000319 -0.000249 0.000047 -0.000559 -0.000911 0.000533 -0.001117 0.000534 -0.000724 -0.000058 -0.000548 0.000911
8.600000 0.012222 0.013057 -0.005546 -0.008836 0.000625 0.006204 -0.007254 -0.000289 0.009687 -0.012918 -0.004651 0.005372 -0.006152 -0.006141 0.011524 -0.005093 0.005653 -0.008043 0.015464 0.006472 0.012862 -0.000319 -0.009726 -0.000446 0.000181 0.000051 -0.000087 0.000140 0.000093 -0.000154 -0.000013 -0.000133 0.000513 0.000815 0.000407 0.000740 -0.000854 -0.000799 -0.000236 -0.000658 -0.000252 -0.000198 0.000038 -0.000442 -0.000721 0.000421 -0.000883 0.000422 -0.000573 -0.000047 -0.000433 0.000720
8.800000 0.012250 0.013348 -0.005282 -0.008746 0.000514 0.006114 -0.007085 -0.000282 0.009712 -0.012697 -0.004414 0.005475 -0.006276 -0.006244 0.011706 -0.005086 0.005666 -0.007932 0.015629 0.006529 0.012835 -0.000372 -0.009668 -0.000442 0.000143 0.000040 -0.000069 0.000111 0.000073 -0.000121 -0.000010 -0.000105 0.000405 0.000643 0.000321 0.000584 -0.000674 -0.000631 -0.000186 -0.000520 -0.000199 -0.000156 0.000031 -0.000348 -0.000569 0.000332 -0.000698 0.000333 -0.000452 -0.000037 -0.000342 0.000569
9.000000 0.012271 0.013574 -0.005075 -0.008674 0.000426 0.006043 -0.006953 -0.000276 0.009731 -0.012524 -0.004229 0.005555 -0.006372 -0.006325 0.011848 -0.005080 0.005676 -0.007844 0.015757 0.006573 0.012814 -0.000413 -0.009622 -0.000438 0.000112 0.000032 -0.000054 0.000087 0.000058 -0.000096 -0.000008 -0.000083 0.000319 0.000507 0.000253 0.000460 -0.000530 -0.000497 -0.000147 -0.000410 -0.000157 -0.000124 0.000025 -0.000274 -0.000449 0.000262 -0.000550 0.000262 -0.000356 -0.000030 -0.000269 0.000448
9.200000 0.012286 0.013750 -0.004914 -0.008618 0.000358 0.005988 -0.006850 -0.000271 0.009745 -0.012389 -0.004085 0.005617 -0.006447 -0.006387 0.011958 -0.005076 0.005684 -0.007776 0.015856 0.006607 0.012796 -0.000445 -0.009586 -0.000436 0.000088 0.000025 -0.000043 0.000069 0.000045 -0.000075 -0.000006 -0.000065 0.000251 0.000398 0.000199 0.000361 -0.000417 -0.000391 -0.000115 -0.000323 -0.000123 -0.000098 0.000020 -0.000216 -0.000353 0.000206 -0.000432 0.000206 -0.000280 -0.000024 -0.000211 0.000353
9.400000 0.012298 0.013886 -0.004788 -0.008575 0.000306 0.005944 -0.006769 -0.000268 0.009755 -0.012284 -0.003973 0.005665 -0.006505 -0.006436 0.012042 -0.005072 0.005689 -0.007722 0.015932 0.006633 0.012783 -0.000470 -0.009558 -0.000433 0.000069 0.000020 -0.000033 0.000054 0.000036 -0.000059 -0.000005 -0.000051 0.000197 0.000312 0.000156 0.000283 -0.000327 -0.000307 -0.000090 -0.000253 -0.000097 -0.000077 0.000016 -0.000169 -0.000277 0.000161 -0.000339 0.000162 -0.000220 -0.000019 -0.000166 0.000277
9.600000 0.012307 0.013992 -0.004691 -0.008541 0.000265 0.005911 -0.006707 -0.000265 0.009763 -0.012202 -0.003885 0.005703 -0.006550 -0.006473 0.012108 -0.005069 0.005693 -0.007680 0.015991 0.006653 0.012771 -0.000489 -0.009535 -0.000432 0.000054 0.000015 -0.000026 0.000042 0.000028 -0.000046 -0.000004 -0.000040 0.000154 0.000244 0.000122 0.000222 -0.000256 -0.000240 -0.000071 -0.000198 -0.000076 -0.000060 0.000013 -0.000132 -0.000217 0.000126 -0.000266 0.000126 -0.000172 -0.000015 -0.000130 0.000217
9.800000 0.012313 0.014073 -0.004615 -0.008514 0.000233 0.005885 -0.006658 -0.000263 0.009768 -0.012138 -0.003818 0.005731 -0.006584 -0.006502 0.012158 -0.005066 0.005696 -0.007648 0.016036 0.006668 0.012762 -0.000504 -0.009518 -0.000431 0.000042 0.000012 -0.000020 0.000033 0.000022 -0.000036 -0.000003 -0.000031 0.000120 0.000191 0.000095 0.000173 -0.000199 -0.000188 -0.000055 -0.000155 -0.000059 -0.000047 0.000010 -0.000103 -0.000170 0.000098 -0.000208 0.000099 -0.000135 -0.000012 -0.000101 0.000169
10.000000 0.012318 0.014136 -0.004557 -0.008493 0.000208 0.005864 -0.006620 -0.000261 0.009772 -0.012089 -0.003765 0.005753 -0.006611 -0.006524 0.012197 -0.005064 0.005699 -0.007623 0.016071 0.006680 0.012755 -0.000515 -0.009504 -0.000430 0.000033 0.000009 -0.000016 0.000026 0.000017 -0.000028 -0.000002 -0.000024 0.000093 0.000148 0.000074 0.000135 -0.000155 -0.000147 -0.000043 -0.000121 -0.000046 -0.000037 0.000008 -0.000080 -0.000132 0.000077 -0.000162 0.000077 -0.000105 -0.000010 -0.000079 0.000132
10.500000 0.012323 0.014236 -0.004468 -0.008463 0.000171 0.005835 -0.006563 -0.000258 0.009778 -0.012016 -0.003685 0.005789 -0.006653 -0.006559 0.012258 -0.005060 0.005701 -0.007586 0.016125 0.006699 0.012745 -0.000534 -0.009483 -0.000428 0.000018 0.000005 -0.000009 0.000014 0.000009 -0.000016 -0.000001 -0.000013 0.000052 0.000082 0.000041 0.000074 -0.000086 -0.000081 -0.000024 -0.000067 -0.000025 -0.000021 0.000005 -0.000044 -0.000073 0.000042 -0.000090 0.000042 -0.000058 -0.000006 -0.000043 0.000073
11.000000 0.012327 0.014287 -0.004414 -0.008442 0.000148 0.005814 -0.006528 -0.000257 0.009781 -0.011967 -0.003637 0.005807 -0.006674 -0.006577 0.012290 -0.005058 0.005703 -0.007560 0.016153 0.006708 0.012736 -0.000544 -0.009469 -0.000427 0.000009 0.000003 -0.000004 0.000007 0.000005 -0.000008 -0.000001 -0.000007 0.000026 0.000041 0.000021 0.000037 -0.000043 -0.000041 -0.000012 -0.000034 -0.000013 -0.000011 0.000003 -0.000022 -0.000037 0.000021 -0.000045 0.000021 -0.000029 -0.000003 -0.000022 0.000037
